Model	Dataset	Metric	Value	Split
dscript	du	Accuracy	0.5074	Rewired
dscript	du	Precision	0.6171	Rewired
dscript	du	Sensitivity	0.0389	Rewired
dscript	du	Recall	0.0389	Rewired
dscript	du	Specificity	0.9759	Rewired
dscript	du	MCC	0.0423	Rewired
dscript	du	F1	0.0732	Rewired
dscript	du	AUC	0.5073873873873874	Rewired
dscript	du	AUPR	0.5045590733590734	Rewired
dscript	du	TP	108	Rewired
dscript	du	FP	67	Rewired
dscript	du	TN	2708	Rewired
dscript	du	FN	2667	Rewired
dscript	guo	Accuracy	0.5909	Rewired
dscript	guo	Precision	0.8417	Rewired
dscript	guo	Sensitivity	0.2239	Rewired
dscript	guo	Recall	0.2239	Rewired
dscript	guo	Specificity	0.9579	Rewired
dscript	guo	MCC	0.2677	Rewired
dscript	guo	F1	0.3538	Rewired
dscript	guo	AUC	0.5909090909090908	Rewired
dscript	guo	AUPR	0.5765151515151515	Rewired
dscript	guo	TP	202	Rewired
dscript	guo	FP	38	Rewired
dscript	guo	TN	864	Rewired
dscript	guo	FN	700	Rewired
dscript	huang	Accuracy	0.7484	Rewired
dscript	huang	Precision	0.7107	Rewired
dscript	huang	Sensitivity	0.8379	Rewired
dscript	huang	Recall	0.8379	Rewired
dscript	huang	Specificity	0.6589	Rewired
dscript	huang	MCC	0.505	Rewired
dscript	huang	F1	0.7691	Rewired
dscript	huang	AUC	0.7484210526315789	Rewired
dscript	huang	AUPR	0.6765563909774436	Rewired
dscript	huang	TP	398	Rewired
dscript	huang	FP	162	Rewired
dscript	huang	TN	313	Rewired
dscript	huang	FN	77	Rewired
dscript	pan	Accuracy	0.643	Rewired
dscript	pan	Precision	0.8899	Rewired
dscript	pan	Sensitivity	0.3263	Rewired
dscript	pan	Recall	0.3263	Rewired
dscript	pan	Specificity	0.9596	Rewired
dscript	pan	MCC	0.3695	Rewired
dscript	pan	F1	0.4775	Rewired
dscript	pan	AUC	0.6429516876240899	Rewired
dscript	pan	AUPR	0.6272115198532064	Rewired
dscript	pan	TP	1479	Rewired
dscript	pan	FP	183	Rewired
dscript	pan	TN	4350	Rewired
dscript	pan	FN	3054	Rewired
dscript	richoux_regular	Accuracy	0.5189	Rewired
dscript	richoux_regular	Precision	0.8867	Rewired
dscript	richoux_regular	Sensitivity	0.0433	Rewired
dscript	richoux_regular	Recall	0.0433	Rewired
dscript	richoux_regular	Specificity	0.9945	Rewired
dscript	richoux_regular	MCC	0.1224	Rewired
dscript	richoux_regular	F1	0.0826	Rewired
dscript	richoux_regular	AUC	0.5188863562357539	Rewired
dscript	richoux_regular	AUPR	0.5167459025290351	Rewired
dscript	richoux_regular	TP	266	Rewired
dscript	richoux_regular	FP	34	Rewired
dscript	richoux_regular	TN	6108	Rewired
dscript	richoux_regular	FN	5876	Rewired
dscript	richoux_strict	Accuracy	0.4932	Rewired
dscript	richoux_strict	Precision	0.0	Rewired
dscript	richoux_strict	Sensitivity	0.0	Rewired
dscript	richoux_strict	Recall	0.0	Rewired
dscript	richoux_strict	Specificity	0.9864	Rewired
dscript	richoux_strict	MCC	-0.0829	Rewired
dscript	richoux_strict	F1	0.0	Rewired
dscript	richoux_strict	AUC	0.49318181818181817	Rewired
dscript	richoux_strict	AUPR	0.5	Rewired
dscript	richoux_strict	TP	0	Rewired
dscript	richoux_strict	FP	3	Rewired
dscript	richoux_strict	TN	217	Rewired
dscript	richoux_strict	FN	220	Rewired
dscript	dscript	Accuracy	0.9111	Rewired
dscript	dscript	Precision	0.8605	Rewired
dscript	dscript	Sensitivity	0.0259	Rewired
dscript	dscript	Recall	0.0259	Rewired
dscript	dscript	Specificity	0.9996	Rewired
dscript	dscript	MCC	0.1402	Rewired
dscript	dscript	F1	0.0502	Rewired
dscript	dscript	AUC	0.512730240149219	Rewired
dscript	dscript	AUPR	0.11082532285501483	Rewired
dscript	dscript	TP	111	Rewired
dscript	dscript	FP	18	Rewired
dscript	dscript	TN	42872	Rewired
dscript	dscript	FN	4178	Rewired
