Model,Dataset,Recall
degree_cons,dscript,0
RF_MDS,dscript,0.562980209545984
SVM_MDS,dscript,0.450523864959255
RF_node2vec,dscript,0.554878048780488
SVM_node2vec,dscript,0.589587242026266
RF_PCA,dscript,0.6034924330617
SVM_PCA,dscript,0.707799767171129
degree_cons,du,0.724128073184677
degree_hf,du,0.818467695826186
RF_MDS,du,0.870820234352672
SVM_MDS,du,0.71448985424407
RF_node2vec,du,0.872042068361087
SVM_node2vec,du,0.748758399065148
RF_PCA,du,0.87224921406116
SVM_PCA,du,0.663046584738497
degree_cons,guo,0.817850637522769
degree_hf,guo,0.849726775956284
RF_MDS,guo,0.741347905282332
SVM_MDS,guo,0.657559198542805
RF_node2vec,guo,0.733086190917516
SVM_node2vec,guo,0.613531047265987
RF_PCA,guo,0.722222222222222
SVM_PCA,guo,0.674863387978142
degree_cons,huang,0.77292576419214
degree_hf,huang,0.868995633187773
RF_MDS,huang,0.96064139941691
SVM_MDS,huang,0.932944606413994
RF_node2vec,huang,0.942815249266862
SVM_node2vec,huang,0.857771260997068
RF_PCA,huang,0.944606413994169
SVM_PCA,huang,0.720116618075802
degree_cons,pan,0.804049744897959
degree_hf,pan,0.885044642857143
RF_MDS,pan,0.967957914873266
SVM_MDS,pan,0.729794356767097
RF_node2vec,pan,0.962565989441689
SVM_node2vec,pan,0.414173732202848
RF_PCA,pan,0.966204367926032
SVM_PCA,pan,0.516021042563367
degree_cons,richoux-regular,0.92201540436457
degree_hf,richoux-regular,0.877727856225931
RF_MDS,richoux-regular,0.972859450726979
SVM_MDS,richoux-regular,0.651373182552504
RF_node2vec,richoux-regular,0.972156994297216
SVM_node2vec,richoux-regular,0.424018785642402
RF_PCA,richoux-regular,0.972213247172859
SVM_PCA,richoux-regular,0.617124394184168
degree_cons,richoux-strict,0.823076923076923
degree_hf,richoux-strict,0.792307692307692
RF_MDS,richoux-strict,0.496124031007752
SVM_MDS,richoux-strict,0.507751937984496
RF_node2vec,richoux-strict,0.589147286821706
SVM_node2vec,richoux-strict,0.418604651162791
RF_PCA,richoux-strict,0.515503875968992
SVM_PCA,richoux-strict,0.558139534883721
DeepFE,dscript,0.756
DeepFE,du,0.9068
DeepFE,guo,0.847
DeepFE,huang,0.9549
DeepFE,pan,0.9805
DeepFE,richoux-regular,0.9303
DeepFE,richoux-strict,0.5155
deepPPI_FC,dscript,0.785
deepPPI_FC,du,0.918
deepPPI_FC,guo,0.896
deepPPI_FC,huang,0.9772
deepPPI_FC,pan,0.9821
deepPPI_FC,richoux-regular,0.9823
deepPPI_FC,richoux-strict,0.5937
deepPPI_LSTM,dscript,0.6724
deepPPI_LSTM,du,0.8685
deepPPI_LSTM,guo,0.8771
deepPPI_LSTM,huang,0.9032
deepPPI_LSTM,pan,0.892
deepPPI_LSTM,richoux-regular,0.877
deepPPI_LSTM,richoux-strict,0.5937
PIPR,dscript,0.736
PIPR,du,0.8797
PIPR,guo,0.9545
PIPR,huang,0.9287
PIPR,pan,0.9715
PIPR,richoux-regular,0.9659
PIPR,richoux-strict,0.5349
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.0036
D-SCRIPT,guo,0.5669
D-SCRIPT,huang,0.425
D-SCRIPT,pan,0.5492
D-SCRIPT,richoux-regular,0.0234
D-SCRIPT,richoux-strict,0.0364
D-SCRIPT,dscript,0.0457
Topsy_Turvy,du,0.0331
Topsy_Turvy,guo,0.2057
Topsy_Turvy,huang,0.1312
Topsy_Turvy,pan,0.2201
Topsy_Turvy,richoux-regular,0.112
Topsy_Turvy,richoux-strict,0.0182
Topsy_Turvy,dscript,0.1031
