Model,Dataset,Specificity
degree_cons,dscript,1
RF_MDS,dscript,0.994481955762515
SVM_MDS,dscript,0.99522700814901
RF_node2vec,dscript,0.99500469043152
SVM_node2vec,dscript,0.999155722326454
RF_PCA,dscript,0.996018626309662
SVM_PCA,dscript,0.997857974388824
degree_cons,du,0.947127750785939
degree_hf,du,0.911689054015433
RF_MDS,du,0.888539582737925
SVM_MDS,du,0.895112889396971
RF_node2vec,du,0.888694127957932
SVM_node2vec,du,0.867952088810985
RF_PCA,du,0.893398113746785
SVM_PCA,du,0.876536153186625
degree_cons,guo,0.660291438979964
degree_hf,guo,0.768670309653916
RF_MDS,guo,0.734972677595629
SVM_MDS,guo,0.683970856102004
RF_node2vec,guo,0.714550509731233
SVM_node2vec,guo,0.675625579240037
RF_PCA,guo,0.683970856102004
SVM_PCA,guo,0.707650273224044
degree_cons,huang,0.978165938864629
degree_hf,huang,0.963609898107715
RF_MDS,huang,0.972303206997085
SVM_MDS,huang,0.965014577259475
RF_node2vec,huang,0.963343108504399
SVM_node2vec,huang,0.851906158357771
RF_PCA,huang,0.978134110787172
SVM_PCA,huang,0.93002915451895
degree_cons,pan,0.980395282116672
degree_hf,pan,0.972425884603124
RF_MDS,pan,0.983739837398374
SVM_MDS,pan,0.981189223656943
RF_node2vec,pan,0.98144296912494
SVM_node2vec,pan,0.890097584386498
RF_PCA,pan,0.982305117168819
SVM_PCA,pan,0.924438067910091
degree_cons,richoux-regular,0.626444159178434
degree_hf,richoux-regular,0.715340179717587
RF_MDS,richoux-regular,0.864620355411955
SVM_MDS,richoux-regular,0.889499192245557
RF_node2vec,richoux-regular,0.855082187185508
SVM_node2vec,richoux-regular,0.779268701777927
RF_PCA,richoux-regular,0.870274636510501
SVM_PCA,richoux-regular,0.809531502423263
degree_cons,richoux-strict,0.584615384615385
degree_hf,richoux-strict,0.707692307692308
RF_MDS,richoux-strict,0.910852713178295
SVM_MDS,richoux-strict,0.891472868217054
RF_node2vec,richoux-strict,0.883720930232558
SVM_node2vec,richoux-strict,0.798449612403101
RF_PCA,richoux-strict,0.89922480620155
SVM_PCA,richoux-strict,0.794573643410853
DeepFE,dscript,0.9877
DeepFE,du,0.9037
DeepFE,guo,0.9143
DeepFE,huang,0.9898
DeepFE,pan,0.9895
DeepFE,richoux-regular,0.8305
DeepFE,richoux-strict,0.8633
deepPPI_FC,dscript,0.9818
deepPPI_FC,du,0.9008
deepPPI_FC,guo,0.5016
deepPPI_FC,huang,0.97
deepPPI_FC,pan,0.9898
deepPPI_FC,richoux-regular,0.7724
deepPPI_FC,richoux-strict,0.8867
deepPPI_LSTM,dscript,0.988
deepPPI_LSTM,du,0.9005
deepPPI_LSTM,guo,0.9415
deepPPI_LSTM,huang,0.9806
deepPPI_LSTM,pan,0.8746
deepPPI_LSTM,richoux-regular,0.827
deepPPI_LSTM,richoux-strict,0.8594
PIPR,dscript,0.9878
PIPR,du,0.9083
PIPR,guo,0.9681
PIPR,huang,0.9709
PIPR,pan,0.9864
PIPR,richoux-regular,0.8567
PIPR,richoux-strict,0.9062
SPRINT,du,0.7345
SPRINT,guo,0.6252
SPRINT,huang,0.7497
SPRINT,pan,0.8917
SPRINT,richoux-regular,0.9871
SPRINT,richoux-strict,0.8088
SPRINT,dscript,0.7754
D-SCRIPT,du,0.9284
D-SCRIPT,guo,0.9074
D-SCRIPT,huang,0.4333
D-SCRIPT,pan,0.9843
D-SCRIPT,richoux-regular,0.9938
D-SCRIPT,richoux-strict,0.9909
D-SCRIPT,dscript,0.9951
Topsy_Turvy,du,0.9277
Topsy_Turvy,guo,0.984
Topsy_Turvy,huang,0.9458
Topsy_Turvy,pan,0.9982
Topsy_Turvy,richoux-regular,0.9954
Topsy_Turvy,richoux-strict,0.7636
Topsy_Turvy,dscript,0.9975
